POS_P3_A1	POS_P3_A5	POS_P3_B1	POS_P3_B5	POS_P3_C1	POS_P3_E3	POS_P3_E4	POS_P3_F3	POS_P3_F4	POS_P3_G3	POS_P3_G4	POS_P3_H3	POS_P3_H4
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0	0	0	0
1	1	0	1	0	3	1	3	0	2	1	15	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	5	2	3	1	2	0	2	0
0	1	2	0	1	44	10	29	1	35	0	35	0
1	1	0	3	1	2	2	0	0	3	0	3	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	197	0	1	0	7	0	7	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	2	2	0	0	0	0	0	0
0	0	0	0	0	13	0	5	0	5	0	5	0
7	4	6	1	2	10	6	6	4	7	1	9	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	1	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	9	4	2	1	1	6	5	4	5	0	9	1
0	0	0	1	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	1	2	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	1	4	3	1	3	4	1	2	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	2	1	1	0	0	0	2	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	0	1	0	0	1	0	1	2	0	6	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	1	1	0	0	0	2	0	1	0
1	0	0	0	0	1	0	0	0	0	1	1	0
0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	1	0	1	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	1	1	0	0	0	0	0	0	0
0	0	0	1	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	3	2	3	1	6	4	1	3	8	1	5	0
0	0	0	0	0	0	0	0	1	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
17	15	32	12	21	21	33	21	18	48	6	43	5
3	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0	0	0	0	0	0	0	0	0	0
1	2	0	0	1	7	3	5	3	10	0	9	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	1	0	2	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	1	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
4	3	9	3	2	14	5	2	7	15	2	12	0
0	0	0	0	0	0	0	0	0	0	0	0	0
52	31	50	27	26	450	129	90	70	267	16	305	10
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	0	0	0	1	0	0	0	0	0	0	0
0	0	0	0	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	1	0	1	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	0	0	0	0	0	0	1	0	2	0
118	90	138	57	67	985	250	574	117	570	39	649	17
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	1	2	2	0	2	0	2	2	3	4	0
0	0	1	0	0	0	0	1	0	0	0	0	0
20	8	22	11	12	25	6	10	4	19	4	24	3
0	0	0	0	0	1	0	0	0	1	0	2	0
0	0	0	0	0	0	0	0	0	0	0	0	0
17	9	23	6	15	38	19	21	10	46	2	63	0
12	3	12	7	4	27	15	6	15	15	3	11	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	1	0	0	0	1	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	1	0	0
1	0	5	3	3	0	3	8	1	9	1	8	1
193	140	251	91	122	1902	452	636	192	1129	51	1356	33
0	0	1	0	1	7	4	4	0	3	1	5	1
31	20	24	8	8	24	42	5	16	29	8	29	1
15	8	14	4	5	19	27	22	13	43	1	64	1
